O_Trip,D_Trip,T_Trip,Capacity,Int_points,Grocery,School,Hospital,Transit,Pop,Pec_Whi,Med_age,HH_2010,HH_ACS,Pec_01_V,Income,T_work,Emp_rate,WBN_len,WBN_des,BN_len,BN_des,Crash,Crime,UndSer_Lvl,UndSer_Cod
10623,10728,21351,19,128,0,1,1,3,4684.419922,56.0541,42.7366982,2906.850098,3040.850098,95.3499985,43784.30078,3012.590088,90.9312973,4419.622728,87.92560047,4514.03498,89.80387255,57,141,Moderately served,0
491,542,1033,15,148,0,1,0,4,3601.070068,44.3961983,35.1428986,1215.02002,1170.930054,69.7903976,41642.39844,1496.569946,87.2938004,7931.100211,157.7842254,1437.804071,28.60420314,31,98,Moderately served,0
3574,3492,7066,15,251,1,8,4,11,6303.390137,62.7481003,31.2801991,2534.73999,2123.280029,83.4372025,27467.09961,3010.179932,91.1902008,7391.378756,147.0468082,1153.023849,22.93868063,55,298,Moderately served,0
655,717,1372,15,75,2,4,2,5,5203.479981,36.3487015,32.4824982,1689.52002,1662.540039,68.4658966,39243.60156,2717.439941,87.3991013,6074.796924,120.8542448,2348.595502,46.72382292,70,288,Moderately served,0
1496,1504,3000,15,82,5,2,0,8,4806.470215,51.1334,33.1957016,1898.530029,1785.73999,79.1802979,44680.69922,2729.75,92.8977966,6039.411175,120.1502677,3160.708683,62.88030132,46,319,Moderately served,0
4126,4438,8564,15,101,5,2,4,8,8816.75,60.3592987,30.5928001,4239.040039,3853.98999,90.3655014,38459.10156,4913.040039,89.7563019,6769.908986,134.6830599,5095.821312,101.3781439,57,411,Moderately served,0
488,619,1107,15,69,2,6,3,6,4230.189941,45.3172989,35.1227989,1410.030029,1360.729981,57.0721016,60233.39844,2457.540039,88.2810974,6311.910061,125.5714608,3260.257373,64.86075959,107,182,Moderately served,0
494,498,992,15,41,0,2,4,5,3106.840088,44.3518982,34.1403008,1169.719971,1044.859985,71.0793991,38544.89844,1564.410034,93.2004013,2813.115313,55.96515095,899.9704579,17.90434338,35,145,Moderately served,0
2217,2032,4249,19,260,3,5,1,11,4315.589844,62.0461998,37.3824005,1873.300049,1950.23999,75.9645004,71794.20313,2556.330078,93.1205978,9039.002311,179.8252373,2335.078062,46.45490201,91,165,Adequately served,1
701,684,1385,15,105,2,3,1,10,2617.429932,2.02035,46.4491005,1324.280029,1290.959961,85.9513016,29040.19922,1041.680054,77.5868988,6972.935181,138.7221377,1740.851251,34.63313522,34,535,Moderately served,0
3186,3275,6461,15,34,3,4,0,16,4391.229981,38.9920006,38.3195,2160.340088,2259.030029,87.7639999,60985.39844,2788.939941,93.8265991,2541.826681,50.56803509,2554.083162,50.81187004,76,353,Moderately served,0
47922,51270,99192,23,239,0,0,0,1,773.835022,82.8376007,35.4469986,542.1790161,530.1920166,95.3553009,50708.10156,503.3789978,94.626297,6788.042427,135.0438133,6666.456733,132.6249427,118,95,Moderately served,0
20224,20359,40583,19,70,4,8,7,22,12871.90039,77.9149017,36.8195992,8713.629883,8601.139648,94.6766968,66921.5,9032.139648,94.6650009,4762.991069,94.75669658,5196.269059,103.3764883,128,1179,Moderately served,0
9319,7363,16682,19,43,3,6,4,5,5543.240234,63.7578011,32.0042,3015.909912,3136.98999,90.5886993,81071.5,4255.5,95.2940979,3333.998068,66.32778409,1134.55443,22.57124322,94,258,Moderately served,0
36060,39588,75648,27,699,9,8,8,21,4702.830078,52.4056015,29.0156994,2779.830078,2774.550049,97.0960007,79414.70313,3409.679932,91.3508987,12237.3091,243.4535292,8165.192097,162.4413355,224,609,Moderately served,0
13946,14733,28679,15,209,7,12,81,27,8606.620117,77.3532028,48.4249001,5354.310059,5172.729981,90.4828033,98385.10156,5126.580078,93.1069031,6427.950952,127.880021,2357.542238,46.90181259,183,1874,Moderately served,0
10464,10538,21002,11,152,3,7,11,22,12565.2998,81.0681,42.8781013,8276.719727,8826.080078,93.2918015,89491.89844,9266.969727,95.0874023,5406.78925,107.5646544,4901.346463,97.50918968,170,1175,Moderately served,0
1163,1130,2293,11,163,10,3,2,6,4862.290039,40.9500999,29.8754997,1561.949951,1476.410034,69.6380005,39741.60156,2235.899902,87.8200989,8554.638292,170.1891213,3751.855507,74.64079372,35,233,Moderately served,0
2854,2951,5805,15,84,5,1,0,0,1002.059998,49.4888992,30.4897003,354.1099854,394.5559998,69.9694977,69130.5,682.1740112,82.180603,5055.617077,100.578306,3375.157697,67.1466289,268,107,Moderately served,0
11876,11862,23738,23,90,3,11,6,24,9224.620117,68.8638992,33.4174995,5823.27002,5535.879883,93.1437988,56853.89844,5651.620117,93.6660004,5244.27549,104.3315459,4890.300842,97.28944402,114,774,Moderately served,0
7291,7195,14486,15,54,1,5,1,3,5158.040039,83.3884964,31.3360996,2647.51001,2532.100098,74.2675018,74520,3867.25,96.4816971,5571.942264,110.8502692,1858.24293,36.96856846,37,277,Moderately served,0
7589,7083,14672,15,108,2,3,0,12,8913.080078,89.6663971,45.0601997,6039.990234,6075.290039,89.7433014,99817.70313,6713.009766,96.0044022,5241.288889,104.2721293,3688.326474,73.37692376,66,316,Moderately served,0
20362,21526,41888,31,106,3,10,6,30,5531.029785,67.6020966,32.4258003,3362.949951,3533.26001,93.1201019,89373.39844,4369.109863,91.6307983,3369.714805,67.038346,5192.943724,103.3103329,276,2007,Moderately served,0
6511,6385,12896,15,185,5,6,0,4,3639.169922,60.8078003,31.823,1650.189941,1598.030029,74.4999008,67568.79688,2435.540039,91.950798,8082.644472,160.7991026,4426.534053,88.06309691,181,267,Moderately served,0
2097,2439,4536,19,103,0,9,0,15,2094.209961,27.1604004,29.6984997,518.9910278,585.2750244,82.6067963,72329,964.3140259,72.7850037,3980.048645,79.18055194,0,0,182,281,Moderately served,0
2438,2336,4774,11,109,3,4,0,11,4771.609863,65.3412018,31.4384995,1964.900024,1932.050049,78.9300995,65372.19922,2924.669922,95.5213013,7152.201588,142.2885296,2499.87703,49.73347331,85,381,Moderately served,0
5467,6010,11477,15,104,2,8,1,10,3167.629883,82.9285965,31.6156006,1428.709961,1454.359985,66.1576996,94075.60156,2183.659912,94.1568985,5268.227782,104.8080616,2747.579491,54.66135718,114,246,Moderately served,0
241,208,449,11,80,4,5,3,12,3637.780029,1.64091,37.2168007,1848.719971,1855.030029,78.6155014,29698.09961,2211.679932,75.1313019,6389.544531,127.1159495,1615.543156,32.14020989,80,912,Moderately served,0
12671,13014,25685,27,210,0,5,6,11,5473.790039,86.2871017,29.6140995,2934,2890.709961,80.5156021,87780,4045.050049,96.8542023,6947.60269,138.2181638,3412.553943,67.89060357,63,340,Moderately served,0
